Distance	CoexpressionScore
68.847991	0.700000
157.810295	1.200000
86.266609	1.400000
46.219048	1.000000
71.862433	2.700000
43.776529	0.500000
29.737508	1.500000
44.964305	1.000000
38.490715	1.100000
78.304085	2.000000
109.956439	1.400000
74.193230	1.000000
44.747752	1.200000
98.317584	0.500000
91.503477	1.000000
100.452397	1.500000
113.171709	1.200000
80.146580	0.500000
90.843128	0.600000
75.008483	1.200000
65.840556	1.600000
82.034290	0.700000
60.110608	1.500000
79.407169	1.000000
71.157556	0.500000
105.871490	0.700000
103.962484	0.900000
62.493936	1.100000
92.236087	1.900000
34.486349	0.800000
77.545601	1.100000
31.449682	0.800000
20.627172	1.200000
50.833648	1.000000
