Gene	Field
YBR225W	G
YBR248C	G
YBR140C	G
YBR214W	G
YBR255W	G
YBR163W	G
YBR191W	G
YGR143W	G
YBR165W	G
YBR240C	G
YBR215W	G
YBR193C	G
YGR187C	G
YGR151C	G
YBR229C	G
YGR163W	G
YGR180C	G
YGR220C	G
YBR257W	G
YBR222C	G
YBR238C	G
YBR286W	G
YBR210W	G
YGR182C	G
YBR161W	G
YBR280C	G
YBR259W	G
YBR266C	G
YBR195C	G
YBR197C	G
YBR167C	G
YGR188C	G
YBR166C	G
YBR256C	G
YBR213W	G
YBR301W	G
YBR144C	G
YBR185C	G
YBR158W	G
YGR153W	G
YGR166W	G
YBR235W	G
YBR249C	G
YGR221C	G
YBR207W	G
YBR206W	G
YGR154C	G
YBR203W	G
YBR278W	G
YGR174C	G
YBR183W	G
YBR171W	G
YBR142W	G
YBR270C	G
YBR227C	G
YBR178W	G
YBR299W	G
YGR190C	G
YBR148W	G
YHR201C	G
YGR141W	G
YBR184W	G
YGR209C	G
YBR242W	G
YGR124W	G
YHR198C	G
YBR172C	G
YGR146C	G
YBR246W	G
YBR175W	G
YGR172C	G
YBR269C	G
YBR263W	G
YGR189C	G
YBR272C	G
YBR233W	G
YBR220C	G
YGR152C	G
YGR150C	G
YGR147C	G
YBR182C	G
YBR219C	G
YGR167W	G
YGR142W	G
YBR273C	G
YGR144W	G
YBR236C	G
YBR253W	G
YBR239C	G
YBR176W	G
YBR141C	G
YBR201W	G
YBR252W	G
YBR212W	G
YBR292C	G
YBR279W	G
YBR153W	G
YBR186W	G
YBR162C	G
YBR281C	G
YGR185C	G
YGR179C	G
YBR291C	G
YBR159W	G
YGR175C	G
YBR177C	G
YBR149W	G
YBR160W	G
YGR173W	G
YBR275C	G
YBR205W	G
YBR226C	G
